epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.436,2.31561,3.65049,1.89851,0.60633,0.16746,0.17757,0.06128,2.13025,3.43902,2.05792,0.000412234,0.000412234,0.000412234
2,855.114,2.19732,2.87041,1.83615,0.45322,0.19414,0.25238,0.08161,2.23266,2.85441,2.0118,0.000801547,0.000801547,0.000801547
3,1271.52,2.19007,2.66879,1.8414,0.50243,0.24624,0.32657,0.12404,2.20197,2.48413,2.0011,0.00116336,0.00116336,0.00116336
4,1688.71,2.18819,2.58486,1.85786,0.43389,0.41288,0.40653,0.16382,2.17704,2.42534,1.96394,0.00112625,0.00112625,0.00112625
5,2105.59,2.16983,2.43418,1.80289,0.2843,0.50036,0.43274,0.15688,2.14177,2.33483,2.03068,0.001085,0.001085,0.001085
6,2517.01,2.13656,2.34435,1.80968,0.37524,0.53506,0.38091,0.15117,2.12588,2.64193,1.96959,0.00104375,0.00104375,0.00104375
7,2926.75,2.08804,2.23088,1.76174,0.45181,0.48939,0.47539,0.17616,2.11437,2.13074,1.95671,0.0010025,0.0010025,0.0010025
8,3336.12,2.09943,2.21106,1.79648,0.50247,0.55129,0.54007,0.21294,2.05378,2.12354,1.94988,0.00096125,0.00096125,0.00096125
9,3743.29,2.08074,2.13428,1.7446,0.51815,0.45085,0.58831,0.25018,2.05056,1.98856,1.87994,0.00092,0.00092,0.00092
10,4154.84,2.04751,2.08056,1.7206,0.70966,0.53251,0.60408,0.25093,2.04626,1.79786,1.90058,0.00087875,0.00087875,0.00087875
11,4563.36,2.02514,2.01984,1.72175,0.50874,0.6591,0.55684,0.24957,2.05708,1.84945,1.86917,0.0008375,0.0008375,0.0008375
12,4970.53,2.03638,1.98268,1.72062,0.52962,0.62314,0.59943,0.2522,1.95026,1.75637,1.77517,0.00079625,0.00079625,0.00079625
13,5384.36,1.99766,1.96,1.68597,0.60172,0.5754,0.63446,0.26353,2.01831,1.77747,1.85397,0.000755,0.000755,0.000755
14,5793.02,1.99234,1.92632,1.69683,0.65532,0.58487,0.60827,0.27749,1.98008,1.72215,1.80393,0.00071375,0.00071375,0.00071375
15,6202.8,1.9774,1.88343,1.66366,0.66491,0.56238,0.65097,0.31379,1.88437,1.67594,1.72827,0.0006725,0.0006725,0.0006725
16,6611.57,1.94519,1.796,1.6429,0.69904,0.62865,0.71281,0.32305,1.89492,1.55377,1.71967,0.00063125,0.00063125,0.00063125
17,7022.72,1.94875,1.77959,1.62849,0.56517,0.67861,0.65139,0.32338,1.854,1.65603,1.70038,0.00059,0.00059,0.00059
18,7433.76,1.93277,1.77247,1.62956,0.59998,0.70767,0.7044,0.28522,1.88637,1.61184,1.72879,0.00054875,0.00054875,0.00054875
19,7845.27,1.93946,1.72829,1.62705,0.70313,0.67827,0.71427,0.32211,1.87062,1.59982,1.72261,0.0005075,0.0005075,0.0005075
20,8257.37,1.89265,1.65688,1.60566,0.65639,0.6258,0.71603,0.33784,1.88286,1.46612,1.71777,0.00046625,0.00046625,0.00046625
21,8661.1,1.91627,1.72562,1.6893,0.72111,0.73418,0.78613,0.36174,1.85718,1.44474,1.7107,0.000425,0.000425,0.000425
22,9066.04,1.86163,1.62593,1.6535,0.7085,0.71857,0.79718,0.39043,1.83866,1.37281,1.70554,0.00038375,0.00038375,0.00038375
23,9471.95,1.87971,1.56541,1.65519,0.70768,0.7719,0.80746,0.39658,1.88279,1.32902,1.7471,0.0003425,0.0003425,0.0003425
24,9875,1.83419,1.51093,1.63323,0.67471,0.81116,0.80363,0.39773,1.83324,1.33861,1.70737,0.00030125,0.00030125,0.00030125
25,10280.3,1.83494,1.47989,1.6333,0.80024,0.81348,0.85042,0.41776,1.94007,1.28473,1.76903,0.00026,0.00026,0.00026
26,10686.8,1.80768,1.44676,1.62403,0.77556,0.74823,0.83116,0.41815,1.90086,1.27033,1.72562,0.00021875,0.00021875,0.00021875
27,11090.6,1.78098,1.40609,1.59556,0.76249,0.78339,0.84938,0.41037,1.82606,1.26053,1.70139,0.0001775,0.0001775,0.0001775
28,11493,1.7759,1.37611,1.5939,0.82552,0.79862,0.85799,0.43692,1.85409,1.21917,1.70478,0.00013625,0.00013625,0.00013625
29,11930.2,1.75386,1.35789,1.5758,0.76337,0.84272,0.86193,0.44971,1.83736,1.21936,1.71316,9.5e-05,9.5e-05,9.5e-05
30,12403.3,1.73013,1.32725,1.56247,0.8221,0.8221,0.87052,0.44912,1.8084,1.17867,1.69665,5.375e-05,5.375e-05,5.375e-05
