epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.539,2.3088,3.62574,1.88656,0.65617,0.18333,0.27784,0.107,2.08436,3.40226,2.05851,0.000412234,0.000412234,0.000412234
2,771.975,2.20093,2.85678,1.82998,0.40256,0.23216,0.17987,0.07001,2.142,3.03038,2.04498,0.000801547,0.000801547,0.000801547
3,1139.25,2.18268,2.70203,1.84165,0.54009,0.30522,0.33931,0.132,2.24267,2.68935,2.15873,0.00116336,0.00116336,0.00116336
4,1518.64,2.19842,2.58893,1.86269,0.47774,0.45203,0.45091,0.15446,2.13364,2.28785,1.92643,0.00112625,0.00112625,0.00112625
5,1928.69,2.17669,2.41153,1.81395,0.5506,0.45542,0.45327,0.1743,2.08306,2.34475,1.96922,0.001085,0.001085,0.001085
6,2306.1,2.13589,2.37027,1.80115,0.52555,0.25447,0.32038,0.1358,2.15128,2.36258,2.07964,0.00104375,0.00104375,0.00104375
7,2682.85,2.11064,2.24831,1.79168,0.49115,0.51228,0.49454,0.19384,2.00465,1.98708,1.80086,0.0010025,0.0010025,0.0010025
8,3059.86,2.11097,2.20052,1.77213,0.62123,0.47061,0.56625,0.21045,2.12079,2.0117,1.96046,0.00096125,0.00096125,0.00096125
9,3433.86,2.09571,2.12269,1.75712,0.75797,0.4459,0.53264,0.24135,2.01676,2.01909,1.84242,0.00092,0.00092,0.00092
10,3804.18,2.05947,2.08174,1.73077,0.72003,0.48145,0.53768,0.23094,1.9712,1.82678,1.81023,0.00087875,0.00087875,0.00087875
11,4175.22,2.03528,2.00184,1.72014,0.59341,0.43276,0.54368,0.24085,1.99501,1.83278,1.7795,0.0008375,0.0008375,0.0008375
12,4550.08,2.03679,1.9867,1.71806,0.58701,0.6086,0.5945,0.24473,1.99318,1.8011,1.82895,0.00079625,0.00079625,0.00079625
13,4927.71,2.00769,1.96412,1.70371,0.72716,0.64508,0.67915,0.28094,1.97849,1.65075,1.82425,0.000755,0.000755,0.000755
14,5303.01,1.99686,1.91695,1.69406,0.69127,0.61794,0.63781,0.29385,1.9419,1.67019,1.78106,0.00071375,0.00071375,0.00071375
15,5679.15,1.97478,1.88308,1.68682,0.67365,0.67574,0.7257,0.31148,1.95489,1.57913,1.78834,0.0006725,0.0006725,0.0006725
16,6056.94,1.96297,1.81864,1.67206,0.65295,0.71519,0.72577,0.29644,1.89083,1.64069,1.75239,0.00063125,0.00063125,0.00063125
17,6432.1,1.95041,1.80884,1.64274,0.73621,0.73655,0.7463,0.34406,1.89855,1.56265,1.76095,0.00059,0.00059,0.00059
18,6808.78,1.93236,1.78811,1.63347,0.70098,0.68575,0.76457,0.32699,2.00275,1.66009,1.80349,0.00054875,0.00054875,0.00054875
19,7184.59,1.94143,1.74945,1.64396,0.71466,0.64371,0.7587,0.33859,1.95898,1.51506,1.79926,0.0005075,0.0005075,0.0005075
20,7558.75,1.89778,1.6691,1.61509,0.7027,0.67436,0.73533,0.34734,1.95492,1.48085,1.80018,0.00046625,0.00046625,0.00046625
21,7932.83,1.92015,1.72443,1.69934,0.76704,0.72693,0.82034,0.36387,1.94247,1.41289,1.81674,0.000425,0.000425,0.000425
22,8301.69,1.87986,1.63446,1.68658,0.84846,0.68346,0.81674,0.42435,1.93737,1.38055,1.79871,0.00038375,0.00038375,0.00038375
23,8674.22,1.8716,1.56933,1.66007,0.74534,0.79724,0.81575,0.43977,1.87027,1.34865,1.7332,0.0003425,0.0003425,0.0003425
24,9047.16,1.83401,1.52344,1.64953,0.84692,0.78048,0.82573,0.43605,1.8938,1.33677,1.7548,0.00030125,0.00030125,0.00030125
25,9420.68,1.83809,1.50251,1.65163,0.85297,0.74678,0.79856,0.41033,1.96645,1.28085,1.78533,0.00026,0.00026,0.00026
26,9798.58,1.81445,1.46594,1.63105,0.83841,0.82519,0.87134,0.44914,1.91274,1.24348,1.74004,0.00021875,0.00021875,0.00021875
27,10165,1.7836,1.42117,1.60441,0.78438,0.82574,0.86701,0.46553,1.80947,1.22331,1.68612,0.0001775,0.0001775,0.0001775
28,10534.8,1.78062,1.38788,1.60493,0.84274,0.73409,0.85959,0.45606,1.86413,1.18689,1.71096,0.00013625,0.00013625,0.00013625
29,10901.5,1.75834,1.36178,1.58385,0.85097,0.83479,0.87849,0.49019,1.87287,1.17017,1.72647,9.5e-05,9.5e-05,9.5e-05
30,11274.3,1.73664,1.33956,1.57913,0.8722,0.84371,0.88198,0.50123,1.85095,1.16416,1.7156,5.375e-05,5.375e-05,5.375e-05
